x_m,y_m,w_tr_right_m,w_tr_left_m
-8.339380,3.259376,0.5500,0.5500
-8.291521,3.242262,0.6000,0.6000
-8.243573,3.224346,0.6098,0.6098
-8.195533,3.207458,0.6197,0.6197
-8.147393,3.190707,0.6795,0.6795
-8.099149,3.174071,0.6894,0.6894
-8.050795,3.157531,0.6992,0.6992
-8.002326,3.141063,0.6892,0.6892
-7.953734,3.124648,0.7091,0.7091
-7.905016,3.109249,0.7291,0.7291
-7.856165,3.092992,0.6992,0.6992
-7.807175,3.076841,0.7091,0.7091
-7.758042,3.059905,0.7291,0.7291
-7.708759,3.044014,0.7492,0.7492
-7.659320,3.027292,0.7091,0.7091
-7.609721,3.011570,0.7291,0.7291
-7.559954,2.994973,0.7592,0.7592
-7.510016,2.979330,0.7495,0.7495
-7.459900,2.962767,0.7689,0.7689
-7.409600,2.947113,0.7991,0.7991
-7.359111,2.930493,0.7689,0.7689
-7.308427,2.913867,0.7991,0.7991
-7.257542,2.898196,0.8189,0.8189
-7.206451,2.881604,0.7991,0.7991
-7.155149,2.865052,0.8091,0.8091
-7.103629,2.848515,0.8189,0.8189
-7.052870,2.830985,0.7991,0.7991
-7.002000,2.813306,0.8189,0.8189
-6.952000,2.795336,0.8189,0.8189
-6.902000,2.776063,0.8189,0.8189
-6.852000,2.755459,0.8389,0.8389
-6.802000,2.734360,0.8189,0.8189
-6.752000,2.712734,0.8389,0.8389
-6.702000,2.691534,0.7992,0.7992
-6.652000,2.669860,0.8091,0.8091
-6.602000,2.647795,0.8189,0.8189
-6.552000,2.626296,0.7991,0.7991
-6.502000,2.604351,0.8292,0.8292
-6.452000,2.581932,0.8091,0.8091
-6.402000,2.559128,0.8189,0.8189
-6.352000,2.536896,0.7991,0.7991
-6.302000,2.514342,0.8091,0.8091
-6.252000,2.491557,0.7689,0.7689
-6.202000,2.468516,0.7991,0.7991
-6.152000,2.446066,0.8197,0.8197
-6.101130,2.424185,0.7894,0.7894
-6.050371,2.402855,0.7992,0.7992
-5.999721,2.382060,0.7591,0.7591
-5.948307,2.361788,0.7689,0.7689
-5.897108,2.341045,0.7592,0.7592
-5.846117,2.320690,0.7894,0.7894
-5.795330,2.300717,0.7991,0.7991
-5.744741,2.281121,0.7991,0.7991
-5.694343,2.261030,0.7991,0.7991
-5.644133,2.239574,0.8189,0.8189
-5.594102,2.217733,0.8091,0.8091
-5.544247,2.195616,0.7991,0.7991
-5.494562,2.172349,0.8189,0.8189
-5.445040,2.149781,0.8091,0.8091
-5.395676,2.126051,0.8189,0.8189
-5.346465,2.102138,0.8189,0.8189
-5.297400,2.077163,0.8189,0.8189
-5.248477,2.052103,0.8189,0.8189
-5.199690,2.026947,0.8292,0.8292
-5.151032,2.001685,0.8492,0.8492
-5.102499,1.976421,0.8091,0.8091
-5.054084,1.950276,0.8189,0.8189
-5.005782,1.924221,0.7991,0.7991
-4.957588,1.897374,0.8189,0.8189
-4.909495,1.871573,0.7991,0.7991
-4.861498,1.845937,0.8091,0.8091
-4.813592,1.819581,0.7689,0.7689
-4.765770,1.794345,0.7991,0.7991
-4.718028,1.768362,0.7894,0.7894
-4.670358,1.742601,0.7591,0.7591
-4.622757,1.717046,0.7689,0.7689
-4.575218,1.691681,0.7492,0.7492
-4.527735,1.666492,0.7591,0.7591
-4.480303,1.641462,0.7291,0.7291
-4.432916,1.616691,0.7591,0.7591
-4.385569,1.592162,0.7291,0.7291
-4.338256,1.567861,0.7492,0.7492
-4.290971,1.543772,0.7591,0.7591
-4.243708,1.519879,0.7291,0.7291
-4.196463,1.496167,0.7295,0.7295
-4.149229,1.472619,0.6894,0.6894
-4.102000,1.448352,0.6894,0.6894
-4.054771,1.425200,0.6492,0.6492
-4.007537,1.401294,0.5992,0.5992
-3.960292,1.377600,0.5794,0.5794
-3.913029,1.354099,0.5395,0.5395
-3.865744,1.330774,0.5298,0.5298
-3.818431,1.308589,0.4900,0.4900
-3.771084,1.286660,0.4997,0.4997
-3.723697,1.264102,0.4695,0.4695
-3.676265,1.242749,0.4894,0.4894
-3.628782,1.220732,0.4795,0.4795
-3.581243,1.199018,0.4697,0.4697
-3.533642,1.177587,0.5098,0.5098
-3.485972,1.156422,0.5000,0.5000
-3.438230,1.135504,0.5500,0.5500
-3.390408,1.114815,0.5500,0.5500
-3.342502,1.094451,0.5500,0.5500
-3.294505,1.074393,0.6098,0.6098
-3.246412,1.054623,0.6197,0.6197
-3.198218,1.035237,0.6795,0.6795
-3.149916,1.016217,0.6894,0.6894
-3.101501,0.997544,0.6992,0.6992
